Epoch,NakamotoCoefficient,GiniIndex,TotalTokens,TotalVotingPower,AgentCount
497,170,0.2703,1806308.85,592262.82,554
498,170,0.2697,1801496.01,591496.14,553
499,170,0.2668,1778471.12,585208.05,549
500,171,0.2668,1788183.46,588375.09,551
501,170,0.2667,1784682.33,586883.12,548
502,170,0.2663,1784155.39,587614.39,548
503,170,0.2675,1781438.83,586500.60,549
504,169,0.2697,1769897.10,582173.92,547
505,169,0.2688,1773169.65,582644.48,546
506,168,0.2707,1767845.44,580599.45,547
507,168,0.2707,1772702.68,582580.99,547
508,167,0.2708,1774182.85,582846.90,545
509,167,0.2692,1765469.00,579953.29,541
510,167,0.2677,1762550.89,579008.42,539
511,166,0.2678,1756253.02,576771.56,536
512,166,0.2692,1757123.73,576521.94,539
513,166,0.2683,1756023.12,576901.60,539
514,170,0.2604,1739785.95,572171.10,540
515,169,0.2602,1732285.25,570212.70,538
516,170,0.2598,1737758.86,572429.93,540
517,172,0.2534,1712924.99,565970.08,538
518,170,0.2539,1703354.19,563071.70,535
519,171,0.2532,1705751.20,564345.50,536
520,170,0.2549,1697221.17,561101.71,536
521,170,0.2556,1697838.86,561370.83,535
522,169,0.2555,1691054.27,559014.14,532
523,169,0.2550,1695214.24,561191.00,534
524,167,0.2582,1678994.18,555692.69,530
525,167,0.2577,1683770.82,556938.52,529
526,167,0.2570,1687883.26,558267.66,530
527,167,0.2573,1687015.26,558316.05,528
528,166,0.2576,1690204.43,559301.35,527
529,166,0.2573,1680198.29,556844.25,524
530,169,0.2508,1653101.98,549180.74,526
531,169,0.2501,1655720.24,550101.84,527
532,168,0.2521,1650473.67,547413.90,526
533,167,0.2534,1648021.29,547243.57,524
534,166,0.2554,1646735.89,546474.49,525
535,168,0.2542,1654510.80,548862.01,527
536,167,0.2542,1657779.28,549034.88,526
537,166,0.2549,1641846.70,544877.83,522
538,164,0.2569,1626571.02,539825.35,520
539,164,0.2570,1631202.54,541021.20,520
540,163,0.2591,1617446.58,536427.61,519
541,165,0.2582,1632095.11,541568.08,523
542,165,0.2603,1633720.82,541674.66,525
543,163,0.2607,1608250.67,533720.19,521
544,164,0.2589,1609677.45,534152.28,521
545,163,0.2611,1600136.36,530940.56,519
546,162,0.2611,1582516.73,525423.11,517
547,163,0.2594,1573515.61,523673.18,516
548,162,0.2580,1564691.02,521257.85,513
549,163,0.2568,1569031.72,522615.42,513
550,163,0.2558,1571998.66,523716.73,513
551,165,0.2519,1560335.53,521288.92,513
552,165,0.2531,1561449.83,521536.41,516
553,165,0.2524,1571228.87,524635.32,517
554,163,0.2529,1561526.22,521546.39,512
555,164,0.2526,1564538.58,522924.24,512
556,165,0.2534,1568084.25,523710.04,516
557,166,0.2516,1577256.90,527655.20,520
558,168,0.2502,1578284.01,529338.83,522
559,166,0.2520,1567258.01,524698.96,520
560,165,0.2521,1563108.33,523560.22,517
561,166,0.2513,1567942.15,525272.19,518
562,165,0.2509,1565380.60,524190.60,516
563,165,0.2510,1569071.22,525697.20,516
564,166,0.2494,1570063.75,526018.61,517
565,167,0.2485,1575823.85,527578.85,517
566,167,0.2483,1583986.28,530716.01,519
567,174,0.2266,1521982.88,514387.33,516
568,175,0.2282,1523287.04,514744.21,519
569,176,0.2269,1532984.52,517740.49,522
570,176,0.2290,1528153.61,515913.24,523
571,176,0.2286,1530127.43,516378.44,523
572,175,0.2307,1524565.46,514563.63,524
573,175,0.2302,1525376.76,515221.79,524
574,175,0.2300,1526732.01,515544.21,523
575,178,0.2253,1525201.93,516362.97,526
576,179,0.2245,1538589.65,520928.72,529
577,179,0.2256,1532778.86,519156.16,531
578,178,0.2255,1530688.84,517551.27,527
579,176,0.2260,1511216.83,511775.47,520
580,174,0.2266,1510435.70,511229.86,517
581,174,0.2272,1502253.67,508102.58,518
582,173,0.2276,1498830.91,506995.07,515
583,173,0.2294,1497657.12,506634.21,517
584,173,0.2301,1481007.22,501727.64,516
585,173,0.2282,1477112.08,501039.37,515
586,173,0.2280,1484206.56,503098.10,515
587,174,0.2268,1494489.99,506345.43,517
588,175,0.2264,1499938.93,507916.44,517
589,175,0.2259,1506658.32,510306.59,518
